,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,burn_unit,geometry,max_FRP_index,max_FRP_datetime,max_FRP,mean_FRP,var_FRP,MW_FRE,LW_FRE,processed_file,fire_duration,pstart_ind,pend_ind,fire_start,fire_end,over_1000FRP_duration
10,2022-03-02T21:21:52+00:00,6.3_F10_2022-03-02T21:21:52+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F10_2022-03-02T21:21:52+00:00.csv,32.052098,-81.73794,F10,77373,1.0,F6.3,POINT (430336.21666401456 3546448.4718264174),66678,2022-03-03 15:53:10+00:00,6684.528762199758,2766.9631894501968,2561015.9028735617,1664661.0668408996,1676974.6342333334,Processed/6.3_F10_2022-03-02T21:21:52+00:00,8.266666666666667,66584,67080,2022-03-03 15:51:36+00:00,2022-03-03 15:59:52+00:00,10.733333333333333
11,2022-03-02T20:29:04+00:00,6.3_W1_2022-03-02T20:29:04+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W1_2022-03-02T20:29:04+00:00.csv,32.062855,-81.735302,W1,78234,1.0,F6.3,POINT (430593.3804382081 3547639.1588851754),69858,2022-03-03 15:53:22+00:00,17253.05667302779,5202.910755718546,13656203.856911236,2209044.3017073893,2181199.091113715,Processed/6.3_W1_2022-03-02T20:29:04+00:00,5.133333333333334,69682,69990,2022-03-03 15:50:26+00:00,2022-03-03 15:55:34+00:00,6.95
12,2022-03-02T21:12:19+00:00,6.3_W9_2022-03-02T21:12:19+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W9_2022-03-02T21:12:19+00:00.csv,32.058677,-81.74101,W9,77881,1.0,F6.3,POINT (430051.39823619137 3547179.722740037),68329,2022-03-03 16:11:08+00:00,13246.926372134069,4445.064941416505,11551897.902270395,1439093.9917507085,1422420.7812532815,Processed/6.3_W9_2022-03-02T21:12:19+00:00,3.75,68264,68489,2022-03-03 16:10:03+00:00,2022-03-03 16:13:48+00:00,5.666666666666667
13,2022-03-01T17:16:32+00:00,6.3_F14_2022-03-01T17:16:32+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F14_2022-03-01T17:16:32+00:00.csv,32.055198,-81.728785,F14,92022,1.0,F6.4,POINT (431202.81697322 3546786.227531106),82379,2022-03-02 16:09:31+00:00,39267.73476041764,8726.973186603875,107310300.6649132,3188350.042575239,3154746.0630538547,Processed/6.3_F14_2022-03-01T17:16:32+00:00,3.933333333333333,82354,82590,2022-03-02 16:09:06+00:00,2022-03-02 16:13:02+00:00,6.05
14,2022-03-02T21:52:08+00:00,6.3_F14_2022-03-02T21:52:08+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F14_2022-03-02T21:52:08+00:00.csv,32.064675,-81.741152,F14,73651,1.0,F6.3,POINT (430042.55924372765 3547844.6787591465),67263,2022-03-03 16:33:11+00:00,12633.133661629423,5185.727753198895,15724763.12453035,2642475.711144808,2626870.5643707626,Processed/6.3_F14_2022-03-02T21:52:08+00:00,6.166666666666667,67150,67520,2022-03-03 16:31:18+00:00,2022-03-03 16:37:28+00:00,8.416666666666666
15,2022-03-02T20:56:33+00:00,6.3_F16_2022-03-02T20:56:33+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F16_2022-03-02T20:56:33+00:00.csv,32.057567,-81.737437,F16,77933,1.0,F6.3,POINT (430387.84382773505 3547054.3720833533),67854,2022-03-03 15:47:27+00:00,24696.110924540004,6869.133525366887,41100374.64087563,2340345.247398872,2310869.2986686756,Processed/6.3_F16_2022-03-02T20:56:33+00:00,3.7333333333333334,67777,68001,2022-03-03 15:46:10+00:00,2022-03-03 15:49:54+00:00,5.65
16,2022-03-01T16:46:30+00:00,6.3_E8_2022-03-01T16:46:30+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_E8_2022-03-01T16:46:30+00:00.csv,32.057698,-81.722482,E8,92953,1.0,F6.4,POINT (431799.68782134727 3547059.3461508756),83848,2022-03-02 16:03:58+00:00,13985.482423371646,4388.646690788145,11351641.626961958,1617319.912946397,1608183.7636580775,Processed/6.3_E8_2022-03-01T16:46:30+00:00,4.5,83828,84098,2022-03-02 16:03:38+00:00,2022-03-02 16:08:08+00:00,9.033333333333333
17,2022-03-02T22:11:11+00:00,6.3_E8_2022-03-02T22:11:11+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_E8_2022-03-02T22:11:11+00:00.csv,32.069087,-81.739755,E8,71179,1.0,F6.3,POINT (430177.77801709925 3548332.83401243),66721,2022-03-03 16:43:12+00:00,14039.848941008571,3795.002709579892,12258329.383679189,2110033.5502367103,2112950.910870798,Processed/6.3_E8_2022-03-02T22:11:11+00:00,6.733333333333333,66668,67072,2022-03-03 16:42:19+00:00,2022-03-03 16:49:03+00:00,9.266666666666667
18,2022-03-02T20:36:37+00:00,6.3_F1_2022-03-02T20:36:37+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F1_2022-03-02T20:36:37+00:00.csv,32.064033,-81.738,F1,78458,1.0,F6.3,POINT (430339.59757432103 3547771.4756589476),70716,2022-03-03 16:15:13+00:00,35621.83318690341,7286.455816315531,74287759.1776726,3778245.536956497,3748265.6929724053,Processed/6.3_F1_2022-03-02T20:36:37+00:00,5.516666666666667,70693,71024,2022-03-03 16:14:50+00:00,2022-03-03 16:20:21+00:00,8.516666666666667
19,2022-03-01T16:09:38+00:00,6.3_F17_2022-03-01T16:09:38+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F17_2022-03-01T16:09:38+00:00.csv,32.069388,-81.726597,F17,92675,1.0,F6.4,POINT (431419.9579861624 3548357.760695657),86836,2022-03-02 16:16:54+00:00,20584.79945219865,3142.145626264422,17801383.589021474,2427981.9325005384,2434589.467801678,Processed/6.3_F17_2022-03-01T16:09:38+00:00,10.616666666666667,86371,87008,2022-03-02 16:09:09+00:00,2022-03-02 16:19:46+00:00,13.266666666666667
