,dt,data_directory,clean_file,lat,lon,rad,N,sample_freq,burn_plot,geometry,max_FRP_index,max_FRP_datetime,max_FRP,MW_FRE,LW_FRE
15,2022-02-03T13:32:40+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_5B_2022-02-03T13:32:40+00:00.csv,30.239063,-82.409827,5B,15232,1.0,E2,POINT (-82.409827 30.239063),11050,2022-02-03T16:36:50+00:00,37124.382138202935,2105901.683300079,2095082.2647688992
16,2022-02-03T14:10:18+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_18_2022-02-03T14:10:18+00:00.csv,30.238862,-82.409017,18,13992,1.0,E2,POINT (-82.409017 30.238862),9237,2022-02-03T16:44:15+00:00,26792.519564589944,1826578.7647279527,1805587.7442396614
17,2022-02-03T13:55:01+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_666_2022-02-03T13:55:01+00:00.csv,30.238783,-82.41025,666,9950,1.0,E4,POINT (-82.41025 30.238783),7649,2022-02-03T16:02:30+00:00,24889.790257859262,3061240.3118157303,3026285.5663384907
18,2022-02-03T17:11:03+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_666_2022-02-03T17:11:03+00:00.csv,30.237957,-82.410697,666,9029,1.0,A1,POINT (-82.410697 30.237957),7567,2022-02-03T19:17:10+00:00,33671.29969220333,1606472.1712549601,1593470.7654568164
19,2022-02-03T13:40:28+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_1_2022-02-03T13:40:28+00:00.csv,30.23897,-82.410797,1,10985,1.0,E4,POINT (-82.410797 30.23897),7802,2022-02-03T15:50:30+00:00,17395.92457897055,3242400.2624471914,3213696.7781970226
20,2022-02-03T16:58:35+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_1_2022-02-03T16:58:35+00:00.csv,30.238402,-82.410617,1,10147,1.0,A1,POINT (-82.410617 30.238402),7788,2022-02-03T19:08:23+00:00,21574.217041268617,1051251.5767173972,1041986.5159893881
21,2022-02-03T14:05:32+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_22_2022-02-03T14:05:32+00:00.csv,30.239007,-82.408978,22,14124,1.0,E2,POINT (-82.408978 30.239007),9008,2022-02-03T16:35:40+00:00,13202.731559403479,1463816.9000971476,1456704.2481838358
22,2022-02-03T15:34:37+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_10_2022-02-03T15:34:37+00:00.csv,30.237903,-82.41273,10,12308,1.0,A2,POINT (-82.41273 30.237903),10043,2022-02-03T18:22:00+00:00,30377.10102900548,2618879.3917246526,2593016.9190473687
23,2022-02-03T13:31:25+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_25_2022-02-03T13:31:25+00:00.csv,30.239333,-82.410333,25,11066,1.0,E4,POINT (-82.410333 30.239333),7315,2022-02-03T15:33:20+00:00,9313.740904463497,3031031.007739802,3021471.5414839215
24,2022-02-03T17:04:00+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_25_2022-02-03T17:04:00+00:00.csv,30.238278,-82.410662,25,9700,1.0,A1,POINT (-82.410662 30.238278),7705,2022-02-03T19:12:25+00:00,24564.621808529337,1012602.5937410673,1003197.4298164097
25,2022-02-03T15:00:10+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_4_2022-02-03T15:00:10+00:00.csv,30.238328,-82.412503,4,13789,1.0,A2,POINT (-82.412503 30.238328),11320,2022-02-03T18:08:50+00:00,33460.923486456006,2666975.529601419,2646984.995067055
26,2022-02-03T14:00:14+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_16_2022-02-03T14:00:14+00:00.csv,30.239388,-82.409032,16,14297,1.0,E2,POINT (-82.409032 30.239388),8572,2022-02-03T16:23:06+00:00,15000.32577360892,1515044.5758857764,1511131.5484271927
27,2022-02-03T13:57:40+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_12_2022-02-03T13:57:40+00:00.csv,30.238782,-82.410647,12,10361,1.0,E4,POINT (-82.410647 30.238782),7374,2022-02-03T16:00:34+00:00,26105.19507325183,3946764.9345702846,3902279.818682403
28,2022-02-03T16:51:20+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_12_2022-02-03T16:51:20+00:00.csv,30.238567,-82.410497,12,10421,1.0,A1,POINT (-82.410497 30.238567),7998,2022-02-03T19:04:38+00:00,21866.901953665958,1164166.1620833888,1151940.194594447
29,2022-02-03T15:05:40+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_A4_2022-02-03T15:05:40+00:00.csv,30.238437,-82.412177,A4,13590,1.0,A2,POINT (-82.412177 30.238437),11028,2022-02-03T18:09:28+00:00,30530.17956676883,3034759.444810951,2996923.4935267367
30,2022-02-03T13:48:35+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_9_2022-02-03T13:48:35+00:00.csv,30.238738,-82.4094,9,15526,1.0,E2,POINT (-82.4094 30.238738),10370,2022-02-03T16:41:25+00:00,35661.61469794499,1692778.1623752685,1678993.423774648
31,2022-02-03T13:56:38+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_7_2022-02-03T13:56:38+00:00.csv,30.239327,-82.409392,7,14377,1.0,E2,POINT (-82.409392 30.239327),8770,2022-02-03T16:22:48+00:00,41206.96472488088,4008047.6863913857,3982531.3642861405
32,2022-02-04T14:07:07+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_5_2022-02-04T14:07:07+00:00.csv,30.23593,-82.41083,5,18391,1.0,B2,POINT (-82.41083 30.23593),9997,2022-02-04T16:53:44+00:00,34556.41086477784,2791403.741218337,2772349.87647683
33,2022-02-04T13:05:33+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_21_2022-02-04T13:05:33+00:00.csv,30.23691,-82.412397,21,8198,1.0,C4,POINT (-82.412397 30.23691),6573,2022-02-04T14:55:06+00:00,21261.237111755996,4600629.074795755,4566417.659136046
34,2022-02-04T15:31:53+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_21_2022-02-04T15:31:53+00:00.csv,30.23608,-82.410638,21,11498,1.0,B1,POINT (-82.410638 30.23608),7567,2022-02-04T17:38:00+00:00,9807.278733661647,1239294.0058145376,1234699.9252638924
35,2022-02-04T13:01:58+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_23_2022-02-04T13:01:58+00:00.csv,30.236695,-82.41247,23,8321,1.0,C4,POINT (-82.41247 30.236695),7171,2022-02-04T15:01:29+00:00,28631.45473661456,5079868.161613266,5020597.252875417
