,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,geometry,burn_unit
20,2022-02-03 16:58:35+00:00,DATALOG_1_2022-02-03T16:58:35+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_1_2022-02-03T16:58:35+00:00.csv,30.238402,-82.410617,1,10147,1.0,POINT (364268.8143628705 3346044.2481773617),A1
21,2022-02-03 14:05:32+00:00,DATALOG_22_2022-02-03T14:05:32+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_22_2022-02-03T14:05:32+00:00.csv,30.239007,-82.408978,22,14124,1.0,POINT (364427.3671668427 3346109.3447894515),E2
22,2022-02-03 15:34:37+00:00,DATALOG_10_2022-02-03T15:34:37+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_10_2022-02-03T15:34:37+00:00.csv,30.237903,-82.41273,10,12308,1.0,POINT (364064.7917909493 3345991.4680580976),A2
23,2022-02-03 13:31:25+00:00,DATALOG_25_2022-02-03T13:31:25+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_25_2022-02-03T13:31:25+00:00.csv,30.239333,-82.410333,25,11066,1.0,POINT (364297.42323449615 3346147.090910283),E4
24,2022-02-03 17:04:00+00:00,DATALOG_25_2022-02-03T17:04:00+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_25_2022-02-03T17:04:00+00:00.csv,30.238278,-82.410662,25,9700,1.0,POINT (364264.3135463033 3346030.5591083206),A1
25,2022-02-03 15:00:10+00:00,DATALOG_4_2022-02-03T15:00:10+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_4_2022-02-03T15:00:10+00:00.csv,30.238328,-82.412503,4,13789,1.0,POINT (364087.2211981148 3346038.299039886),A2
26,2022-02-03 14:00:14+00:00,DATALOG_16_2022-02-03T14:00:14+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_16_2022-02-03T14:00:14+00:00.csv,30.239388,-82.409032,16,14297,1.0,POINT (364422.69380707166 3346151.634922458),E2
27,2022-02-03 13:57:40+00:00,DATALOG_12_2022-02-03T13:57:40+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_12_2022-02-03T13:57:40+00:00.csv,30.238782,-82.410647,12,10361,1.0,POINT (364266.44972460414 3346086.398924909),E4
28,2022-02-03 16:51:20+00:00,DATALOG_12_2022-02-03T16:51:20+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_12_2022-02-03T16:51:20+00:00.csv,30.238567,-82.410497,12,10421,1.0,POINT (364280.58881567925 3346062.391731395),A1
29,2022-02-03 15:05:40+00:00,DATALOG_A4_2022-02-03T15:05:40+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_A4_2022-02-03T15:05:40+00:00.csv,30.238437,-82.412177,A4,13590,1.0,POINT (364118.74244881 3346049.9898704565),A2
30,2022-02-03 13:48:35+00:00,DATALOG_9_2022-02-03T13:48:35+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_9_2022-02-03T13:48:35+00:00.csv,30.238738,-82.4094,9,15526,1.0,POINT (364386.3886316394 3346080.0349444915),E2
31,2022-02-03 13:56:38+00:00,DATALOG_7_2022-02-03T13:56:38+00:00,/home/jepaki/Projects/Osceola/020322_Osceola_Radiometers_DualBand/,Clean/DATALOG_7_2022-02-03T13:56:38+00:00.csv,30.239327,-82.409392,7,14377,1.0,POINT (364387.9673080497 3346145.3035589275),E2
32,2022-02-04 14:07:07+00:00,DATALOG_5_2022-02-04T14:07:07+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_5_2022-02-04T14:07:07+00:00.csv,30.23593,-82.41083,5,18391,1.0,POINT (364244.9193009493 3345770.5336217536),B2
