,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,geometry,burn_unit
22,2022-03-02 21:43:28+00:00,6.3_F2_2022-03-02T21:43:28+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F2_2022-03-02T21:43:28+00:00.csv,32.063195,-81.741523,F2,74693,1.0,POINT (430006.4124473473 3547680.864786763),F6.3
23,2022-03-02 20:08:55+00:00,6.3_W8_2022-03-02T20:08:55+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W8_2022-03-02T20:08:55+00:00.csv,32.064148,-81.734302,W8,79045,1.0,POINT (430688.7498725531 3547781.8421223345),F6.3
24,2022-03-01 14:50:49+00:00,6.3_F6_2022-03-01T14:50:49+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F6_2022-03-01T14:50:49+00:00.csv,31.859048,-81.558127,F6,8,1.0,POINT (447201.06025360234 3524948.1416930472),unknown
25,2022-03-01 16:07:32+00:00,6.3_F6_2022-03-01T16:07:32+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F6_2022-03-01T16:07:32+00:00.csv,32.067812,-81.717987,F6,93494,1.0,POINT (432231.4714747649 3548177.625287722),F6.4
26,2022-03-02 21:05:49+00:00,6.3_F6_2022-03-02T21:05:49+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F6_2022-03-02T21:05:49+00:00.csv,32.062948,-81.731428,F6,77580,1.0,POINT (430959.1336347463 3547646.9828682924),F6.3
27,2022-03-01 17:45:25+00:00,6.3_W21_2022-03-01T17:45:25+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W21_2022-03-01T17:45:25+00:00.csv,32.052783,-81.731295,W21,90298,1.0,POINT (430964.0543091811 3546520.133563791),F6.4
28,2022-03-03 13:50:39+00:00,6.3_W21_2022-03-03T13:50:39+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W21_2022-03-03T13:50:39+00:00.csv,32.056242,-81.742433,W21,19191,1.0,POINT (429915.2125178344 3546910.732011908),F6.3
29,2022-03-02 20:17:56+00:00,6.3_W3_2022-03-02T20:17:56+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W3_2022-03-02T20:17:56+00:00.csv,32.064918,-81.735177,W3,77789,1.0,POINT (430606.73748905153 3547867.757073755),F6.3
30,2022-03-04 16:29:28+00:00,DB_16_2022-03-04T16:29:28+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_16_2022-03-04T16:29:28+00:00.csv,31.996552,-81.839332,16,4,1.0,POINT (420716.38682012993 3540361.2256780877),unknown
31,2022-03-04 16:29:40+00:00,DB_16_2022-03-04T16:29:40+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_16_2022-03-04T16:29:40+00:00.csv,31.996567,-81.839318,16,105619,1.0,POINT (420717.72221401846 3540362.878126918),unknown
32,2022-03-04 18:47:58+00:00,DB_19_2022-03-04T18:47:58+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_19_2022-03-04T18:47:58+00:00.csv,31.999932,-81.819623,19,98373,1.0,POINT (422581.00331580313 3540721.607385887),E16.3
33,2022-03-04 16:39:50+00:00,DB_25_2022-03-04T16:39:50+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_25_2022-03-04T16:39:50+00:00.csv,31.994677,-81.836758,25,104595,1.0,POINT (420957.9270750926 3540151.501838693),E16.2
34,2022-03-04 17:47:38+00:00,DB_7_2022-03-04T17:47:38+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_7_2022-03-04T17:47:38+00:00.csv,31.998603,-81.826262,7,98634,1.0,POINT (421952.7593984597 3540579.0644938094),E16.3
35,2022-03-04 17:09:33+00:00,DB_13_2022-03-04T17:09:33+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_13_2022-03-04T17:09:33+00:00.csv,31.989122,-81.833122,13,101792,1.0,POINT (421296.65873702255 3539533.0918223835),E16.2
36,2022-03-04 18:59:01+00:00,DB_666_2022-03-04T18:59:01+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_666_2022-03-04T18:59:01+00:00.csv,32.000982,-81.818592,666,97547,1.0,POINT (422679.2725069176 3540837.2593798777),E16.3
37,2022-03-04 19:20:11+00:00,DB_11_2022-03-04T19:20:11+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_11_2022-03-04T19:20:11+00:00.csv,31.99431,-81.807067,11,95356,1.0,POINT (423762.3866516121 3540089.501537493),E16.3
38,2022-03-04 18:33:58+00:00,DB_5B_2022-03-04T18:33:58+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_5B_2022-03-04T18:33:58+00:00.csv,31.9999,-81.821527,5B,99043,1.0,POINT (422401.1251042591 3540719.425314584),E16.3
39,2022-03-04 17:14:07+00:00,DB_8_2022-03-04T17:14:07+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_8_2022-03-04T17:14:07+00:00.csv,31.993792,-81.823402,8,102698,1.0,POINT (422218.8570454697 3540043.716393776),E16.3
40,2022-03-05 16:55:01+00:00,DB_12_2022-03-05T16:55:01+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_12_2022-03-05T16:55:01+00:00.csv,31.998525,-81.827362,12,15170,1.0,POINT (421848.78600042715 3540571.2129943883),E16.2
41,2022-03-04 16:48:47+00:00,DB_4_2022-03-04T16:48:47+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_4_2022-03-04T16:48:47+00:00.csv,31.993678,-81.836022,4,104019,1.0,POINT (421026.5973349008 3540040.227328145),E16.2
42,2022-03-04 19:40:16+00:00,DB_18_2022-03-04T19:40:16+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_18_2022-03-04T19:40:16+00:00.csv,31.990973,-81.828923,18,92175,1.0,POINT (421694.9146868996 3539735.222184096),E16.2
43,2022-03-04 16:17:49+00:00,DB_22_2022-03-04T16:17:49+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_22_2022-03-04T16:17:49+00:00.csv,31.989313,-81.844642,22,103623,1.0,POINT (420208.51849739085 3539562.7055733493),E16.2
44,2022-03-04 18:11:43+00:00,DB_23_2022-03-04T18:11:43+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_23_2022-03-04T18:11:43+00:00.csv,31.999043,-81.823077,23,99812,1.0,POINT (422253.98929975723 3540625.542599227),E16.3
45,2022-03-04 16:35:35+00:00,DB_21_2022-03-04T16:35:35+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_21_2022-03-04T16:35:35+00:00.csv,31.992423,-81.82841,21,103908,1.0,POINT (421744.6085436925 3539895.5796003556),E16.2
46,2022-03-04 18:11:25+00:00,DB_15_2022-03-04T18:11:25+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_15_2022-03-04T18:11:25+00:00.csv,31.987463,-81.823387,15,98236,1.0,POINT (422214.93247717805 3539342.1527178045),E16.3
47,2022-03-04 17:27:22+00:00,DB_9_2022-03-04T17:27:22+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_9_2022-03-04T17:27:22+00:00.csv,31.995128,-81.830107,9,100237,1.0,POINT (421586.5990311544 3540196.651418052),E16.2
