Lambda[um],%T
18.65,0.0032
18.7,0.0018
18.75,0.0019
18.8,0.0005
18.85,0.0008
18.9,0.0023
18.95,0.0033
19,0.0032
19.05,0.002
19.1,0.0017
19.15,0.0014
19.2,0.0008
19.25,0.0008
19.3,0.001
19.35,0.0006
19.4,0.0009
19.45,0.0011
19.5,0.0029
19.55,0.0052
19.6,0.0057
19.65,0.0032
19.7,0.0029
19.75,0.0033
19.8,0.0037
19.85,0.0041
19.9,0.0041
19.95,0.0037
20,0.0006
20.05,0.0006
20.1,0.0006
20.15,0.0006
20.2,0.0006
20.25,0.0006
20.3,0.0006
20.35,0.0006
20.4,0.0006
20.45,0.0006
20.5,0.0006
20.55,0.0006
20.6,0.0006
20.65,0.0006
20.7,0.0006
20.75,0.0006
20.8,0.0006
20.85,0.0006
20.9,0.0006
20.95,0.0006
21,0.0006
21.05,0.0006
21.1,0.0006
21.15,0.0006
21.2,0.0006
21.25,0.0006
21.3,0.0006
21.35,0.0006
21.4,0.0006
21.45,0.0006
21.5,0.0006
21.55,0.0006
21.6,0.0006
21.65,0.0006
21.7,0.0006
21.75,0.0006
21.8,0.0006
21.85,0.0006
21.9,0.0006
21.95,0.0006
22,0.0006
22.05,0.0006
22.1,0.0006
22.15,0.0006
22.2,0.0006
22.25,0.0006
22.3,0.0006
22.35,0.0006
22.4,0.0006
22.45,0.0006
22.5,0.0006
22.55,0.0006
22.6,0.0006
22.65,0.0006
22.7,0.0006
22.75,0.0006
22.8,0.0006
22.85,0.0006
22.9,0.0006
22.95,0.0006
23,0.0006
23.05,0.0006
23.1,0.0006
23.15,0.0006
23.2,0.0006
23.25,0.0006
23.3,0.0006
23.35,0.0006
23.4,0.0006
23.45,0.0006
23.5,0.0006
23.55,0.0006
23.6,0.0006
23.65,0.0006
23.7,0.0006
23.75,0.0006
23.8,0.0006
23.85,0.0006
23.9,0.0006
23.95,0.0006
24,0.0006
24.05,0.0006
24.1,0.0006
24.15,0.0006
24.2,0.0006
24.25,0.0006
24.3,0.0006
24.35,0.0006
24.4,0.0006
24.45,0.0006
24.5,0.0006
24.55,0.0006
24.6,0.0006
24.65,0.0006
24.7,0.0006
24.75,0.0006
24.8,0.0006
24.85,0.0006
24.9,0.0006
24.95,0.0006
25,0.0006
25.05,0.0006
25.1,0.0006
25.15,0.0006
25.2,0.0006
25.25,0.0006
25.3,0.0006
25.35,0.0006
25.4,0.0006
25.45,0.0006
25.5,0.0006
25.55,0.0006
25.6,0.0006
25.65,0.0006
25.7,0.0006
25.75,0.0006
25.8,0.0006
25.85,0.0006
25.9,0.0006
25.95,0.0006
26,0.0006
26.05,0.0006
26.1,0.0006
26.15,0.0006
26.2,0.0006
26.25,0.0006
26.3,0.0006
26.35,0.0006
26.4,0.0006
26.45,0.0006
26.5,0.0006
26.55,0.0006
26.6,0.0006
26.65,0.0006
26.7,0.0006
26.75,0.0006
26.8,0.0006
26.85,0.0006
26.9,0.0006
26.95,0.0006
27,0.0006
27.05,0.0006
27.1,0.0006
27.15,0.0006
27.2,0.0006
27.25,0.0006
27.3,0.0006
27.35,0.0006
27.4,0.0006
27.45,0.0006
27.5,0.0006
27.55,0.0006
27.6,0.0006
27.65,0.0006
27.7,0.0006
27.75,0.0006
27.8,0.0006
27.85,0.0006
27.9,0.0006
27.95,0.0006
28,0.0006
28.05,0.0006
28.1,0.0006
28.15,0.0006
28.2,0.0006
28.25,0.0006
28.3,0.0006
28.35,0.0006
28.4,0.0006
28.45,0.0006
28.5,0.0006
28.55,0.0006
28.6,0.0006
28.65,0.0006
28.7,0.0006
28.75,0.0006
28.8,0.0006
28.85,0.0006
28.9,0.0006
28.95,0.0006
29,0.0006
29.05,0.0006
29.1,0.0006
29.15,0.0006
29.2,0.0006
29.25,0.0006
29.3,0.0006
29.35,0.0006
29.4,0.0006
29.45,0.0006
29.5,0.0006
29.55,0.0006
29.6,0.0006
29.65,0.0006
29.7,0.0006
29.75,0.0006
29.8,0.0006
29.85,0.0006
29.9,0.0006
29.95,0.0006
30,0.0006
