Lambda[um],T
0.1,0.0
0.15000000000000002,0.0
0.20000000000000004,0.0
0.25000000000000006,0.0
0.30000000000000004,0.0
0.3500000000000001,0.0
0.40000000000000013,0.0
0.45000000000000007,0.0
0.5000000000000001,0.0
0.5500000000000002,0.0
0.6000000000000002,0.0
0.6500000000000001,0.0
0.7000000000000002,0.0
0.7500000000000002,0.0
0.8000000000000002,0.0
0.8500000000000002,0.0
0.9000000000000002,0.0
0.9500000000000003,0.0
1.0000000000000004,0.0
1.0500000000000003,0.0
1.1000000000000005,0.0
1.1500000000000004,0.0
1.2000000000000004,0.0
1.2500000000000004,0.0
1.3000000000000005,0.0
1.3500000000000005,0.0
1.4000000000000006,0.0
1.4500000000000006,0.0
1.5000000000000004,0.0025
1.5500000000000005,0.0043
1.6000000000000005,0.0038
1.6500000000000006,0.0
1.7000000000000006,0.0
1.7500000000000007,0.0013
1.8000000000000007,0.0
1.8500000000000008,0.0014
1.9000000000000008,0.0017
1.9500000000000006,0.0022
2.0000000000000004,0.0026
2.0500000000000007,0.0006
2.100000000000001,0.0007
2.150000000000001,0.0
2.2000000000000006,0.0006
2.250000000000001,0.0008
2.3000000000000007,0.0011
2.350000000000001,0.0007
2.400000000000001,0.0003
2.450000000000001,0.0004
2.500000000000001,0.0002
2.5500000000000007,0.0006
2.600000000000001,0.0009
2.650000000000001,0.0
2.700000000000001,0.0
2.750000000000001,0.0005
2.800000000000001,0.0005
2.850000000000001,0.0005
2.900000000000001,0.0012
2.950000000000001,0.0003
3.000000000000001,0.0
3.050000000000001,0.0
3.100000000000001,0.0013
3.1500000000000012,0.0
3.200000000000001,0.0
3.2500000000000013,0.0001
3.300000000000001,0.0002
3.350000000000001,0.0003
3.4000000000000012,0.0008
3.450000000000001,0.0
3.5000000000000013,0.0002
3.550000000000001,0.0
3.6000000000000014,0.0002
3.6500000000000012,0.0007
3.7000000000000015,0.0
3.7500000000000013,0.0011
3.800000000000001,0.0
3.8500000000000014,0.0
3.9000000000000012,0.0012
3.9500000000000015,0.0
4.000000000000001,0.0003
4.050000000000002,0.0008
4.100000000000001,0.0005
4.150000000000001,0.001
4.200000000000001,0.0002
4.250000000000001,0.0006
4.300000000000001,0.0029
4.350000000000001,0.0005
4.400000000000001,0.0
4.450000000000001,0.0006
4.500000000000001,0.0006
4.550000000000001,0.0003
4.600000000000001,0.0003
4.650000000000001,0.0003
4.700000000000001,0.0001
4.750000000000001,0.0002
4.800000000000002,0.0
4.850000000000001,0.0003
4.900000000000001,0.0003
4.950000000000001,0.0012
5.000000000000001,0.0005
5.050000000000002,0.0009
5.100000000000001,0.0006
5.150000000000001,0.0001
5.200000000000001,0.0
5.250000000000002,0.0001
5.300000000000002,0.0001
5.350000000000001,0.0017
5.400000000000001,0.0004
5.450000000000001,0.0
5.500000000000002,0.0013
5.550000000000002,0.0017
5.600000000000001,0.0003
5.650000000000001,0.001
5.700000000000001,0.0009
5.750000000000002,0.0015
5.800000000000002,0.0002
5.850000000000001,0.0
5.900000000000001,0.0007
5.950000000000002,0.0
6.000000000000002,0.001
6.050000000000002,0.0008
6.100000000000001,0.0
6.150000000000001,0.0012
6.200000000000002,0.0
6.250000000000002,0.0015
6.300000000000002,0.001
6.350000000000001,0.001
6.400000000000002,0.0
6.450000000000002,0.0018
6.500000000000002,0.0
6.550000000000002,0.0
6.600000000000001,0.0002
6.650000000000002,0.0001
6.700000000000002,0.0007
6.750000000000002,0.0014
6.800000000000002,0.0
6.850000000000002,0.0015
6.900000000000002,0.001
6.950000000000002,0.0012
7.000000000000002,0.0009
7.050000000000002,0.0
7.100000000000002,0.0005
7.150000000000002,0.0008
7.200000000000002,0.0002
7.250000000000002,0.0002
7.3000000000000025,0.0003
7.350000000000002,0.0
7.400000000000002,0.0009
7.450000000000002,0.0006
7.500000000000002,0.0008
7.5500000000000025,0.0006
7.600000000000002,0.0013
7.650000000000002,0.0005
7.700000000000002,0.0011
7.750000000000002,0.0003
7.8000000000000025,0.0005
