Lambda[um],%T
18.35,0.0019
18.4,0.0012
18.45,0.0002
18.5,0.0011
18.55,0.0012
18.6,0.0006
18.65,0.0006
18.7,0.0003
18.75,0.0011
18.8,0.0018
18.85,0.0024
18.9,0.0026
18.95,0.0015
19,0.0019
19.05,0.0012
19.1,0.001
19.15,0.0007
19.2,0.0013
19.25,0.0001
19.3,0.0007
19.35,0.0017
19.4,0.002
19.45,0.0014
19.5,0.0004
19.55,0.0001
19.6,0.0002
19.65,0.0004
19.7,0.0002
19.75,0.0008
19.8,0.0011
19.85,0.0004
19.9,0.0007
19.95,0.0013
20,0.0009
20.05,0.0009
20.1,0.0009
20.15,0.0009
20.2,0.0009
20.25,0.0009
20.3,0.0009
20.35,0.0009
20.4,0.0009
20.45,0.0009
20.5,0.0009
20.55,0.0009
20.6,0.0009
20.65,0.0009
20.7,0.0009
20.75,0.0009
20.8,0.0009
20.85,0.0009
20.9,0.0009
20.95,0.0009
21,0.0009
21.05,0.0009
21.1,0.0009
21.15,0.0009
21.2,0.0009
21.25,0.0009
21.3,0.0009
21.35,0.0009
21.4,0.0009
21.45,0.0009
21.5,0.0009
21.55,0.0009
21.6,0.0009
21.65,0.0009
21.7,0.0009
21.75,0.0009
21.8,0.0009
21.85,0.0009
21.9,0.0009
21.95,0.0009
22,0.0009
22.05,0.0009
22.1,0.0009
22.15,0.0009
22.2,0.0009
22.25,0.0009
22.3,0.0009
22.35,0.0009
22.4,0.0009
22.45,0.0009
22.5,0.0009
22.55,0.0009
22.6,0.0009
22.65,0.0009
22.7,0.0009
22.75,0.0009
22.8,0.0009
22.85,0.0009
22.9,0.0009
22.95,0.0009
23,0.0009
23.05,0.0009
23.1,0.0009
23.15,0.0009
23.2,0.0009
23.25,0.0009
23.3,0.0009
23.35,0.0009
23.4,0.0009
23.45,0.0009
23.5,0.0009
23.55,0.0009
23.6,0.0009
23.65,0.0009
23.7,0.0009
23.75,0.0009
23.8,0.0009
23.85,0.0009
23.9,0.0009
23.95,0.0009
24,0.0009
24.05,0.0009
24.1,0.0009
24.15,0.0009
24.2,0.0009
24.25,0.0009
24.3,0.0009
24.35,0.0009
24.4,0.0009
24.45,0.0009
24.5,0.0009
24.55,0.0009
24.6,0.0009
24.65,0.0009
24.7,0.0009
24.75,0.0009
24.8,0.0009
24.85,0.0009
24.9,0.0009
24.95,0.0009
25,0.0009
25.05,0.0009
25.1,0.0009
25.15,0.0009
25.2,0.0009
25.25,0.0009
25.3,0.0009
25.35,0.0009
25.4,0.0009
25.45,0.0009
25.5,0.0009
25.55,0.0009
25.6,0.0009
25.65,0.0009
25.7,0.0009
25.75,0.0009
25.8,0.0009
25.85,0.0009
25.9,0.0009
25.95,0.0009
26,0.0009
26.05,0.0009
26.1,0.0009
26.15,0.0009
26.2,0.0009
26.25,0.0009
26.3,0.0009
26.35,0.0009
26.4,0.0009
26.45,0.0009
26.5,0.0009
26.55,0.0009
26.6,0.0009
26.65,0.0009
26.7,0.0009
26.75,0.0009
26.8,0.0009
26.85,0.0009
26.9,0.0009
26.95,0.0009
27,0.0009
27.05,0.0009
27.1,0.0009
27.15,0.0009
27.2,0.0009
27.25,0.0009
27.3,0.0009
27.35,0.0009
27.4,0.0009
27.45,0.0009
27.5,0.0009
27.55,0.0009
27.6,0.0009
27.65,0.0009
27.7,0.0009
27.75,0.0009
27.8,0.0009
27.85,0.0009
27.9,0.0009
27.95,0.0009
28,0.0009
28.05,0.0009
28.1,0.0009
28.15,0.0009
28.2,0.0009
28.25,0.0009
28.3,0.0009
28.35,0.0009
28.4,0.0009
28.45,0.0009
28.5,0.0009
28.55,0.0009
28.6,0.0009
28.65,0.0009
28.7,0.0009
28.75,0.0009
28.8,0.0009
28.85,0.0009
28.9,0.0009
28.95,0.0009
29,0.0009
29.05,0.0009
29.1,0.0009
29.15,0.0009
29.2,0.0009
